Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,env_broad_scale,env_local_scale,env_medium,ph,HOST,cur_land_use,cur_vegetation,Depth,elev,isolation_source,samp_mat_process,source_material_id
SRR12728805,AMPLICON,500,124960988,PRJNA665712,SAMN16264381,Metagenome or environmental,71551736,SAURASHTRA UNIVERSITY,2017-08-06,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9202193,India,Asia,"India: farm near Ranakandorana\, Gujarat",Illumina MiSeq,21.618669 N 69.865737 E,R4-AMA,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2021-09-28T00:00:00Z,2020-09-28T11:53:00Z,1,R4-AMA,SRP285612,,,,,Arachis hypogaea,,,,,rhizosphere soil,"rhizosphere soil from five distinct plants were pooled\, serially diluted and platted on media. 2 plates were platted for two dilutions (10e-5 and 10e-6) and incubated at 27 and 37 Celsius.",R4-AMA
SRR12728806,AMPLICON,500,50910857,PRJNA665712,SAMN16264380,Metagenome or environmental,29265189,SAURASHTRA UNIVERSITY,2017-08-06,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX9202192,India,Asia,"India: farm near Ranakandorana\, Gujarat",Illumina MiSeq,21.618669 N 69.865737 E,R4-AIA,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2021-09-28T00:00:00Z,2020-09-28T11:53:00Z,1,R4-AIA,SRP285612,,,,,Arachis hypogaea,,,,,rhizosphere soil,"rhizosphere soil from five distinct plants were pooled\, serially diluted and platted on media. 2 plates were platted for two dilutions (10e-5 and 10e-6) and incubated at 27 and 37 Celsius.",R4-AIA
SRR12728807,AMPLICON,501,43776447,PRJNA665712,SAMN16264379,Metagenome or environmental,26549483,SAURASHTRA UNIVERSITY,2017-07-24,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9202191,India,Asia,"India: farm near Ranakandorana\, Gujarat",Illumina MiSeq,21.618669 N 69.865737 E,R3-YMA,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2021-09-28T00:00:00Z,2020-09-28T11:53:00Z,1,R3-YMA,SRP285612,,,,,Arachis hypogaea,,,,,rhizosphere soil,"rhizosphere soil from five distinct plants were pooled\, serially diluted and platted on media. 2 plates were platted for two dilutions (10e-5 and 10e-6) and incubated at 27 and 37 Celsius.",R3-YMA
SRR12728808,AMPLICON,500,83495441,PRJNA665712,SAMN16264378,Metagenome or environmental,49067273,SAURASHTRA UNIVERSITY,2017-07-24,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX9202190,India,Asia,"India: farm near Ranakandorana\, Gujarat",Illumina MiSeq,21.618669 N 69.865737 E,R3-YEM,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2021-09-28T00:00:00Z,2020-09-28T11:53:00Z,1,R3-YEM,SRP285612,,,,,Arachis hypogaea,,,,,rhizosphere soil,"rhizosphere soil from five distinct plants were pooled\, serially diluted and platted on media. 2 plates were platted for two dilutions (10e-5 and 10e-6) and incubated at 27 and 37 Celsius.",R3-YEM
SRR12728809,AMPLICON,500,107371506,PRJNA665712,SAMN16264377,Metagenome or environmental,62401310,SAURASHTRA UNIVERSITY,2017-07-24,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9202189,India,Asia,"India: farm near Ranakandorana\, Gujarat",Illumina MiSeq,21.618669 N 69.865737 E,R3-TSA,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2021-09-28T00:00:00Z,2020-09-28T11:54:00Z,1,R3-TSA,SRP285612,,,,,Arachis hypogaea,,,,,rhizosphere soil,"rhizosphere soil from five distinct plants were pooled\, serially diluted and platted on media. 2 plates were platted for two dilutions (10e-5 and 10e-6) and incubated at 27 and 37 Celsius.",R3-TSA
SRR12728810,AMPLICON,500,89128208,PRJNA665712,SAMN16264376,Metagenome or environmental,51614044,SAURASHTRA UNIVERSITY,2017-07-24,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9202188,India,Asia,"India: farm near Ranakandorana\, Gujarat",Illumina MiSeq,21.618669 N 69.865737 E,R3-SEA,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2021-09-28T00:00:00Z,2020-09-28T11:53:00Z,1,R3-SEA,SRP285612,,,,,Arachis hypogaea,,,,,rhizosphere soil,"rhizosphere soil from five distinct plants were pooled\, serially diluted and platted on media. 2 plates were platted for two dilutions (10e-5 and 10e-6) and incubated at 27 and 37 Celsius.",R3-SEA
SRR12728811,AMPLICON,500,98019147,PRJNA665712,SAMN16264375,Metagenome or environmental,58185911,SAURASHTRA UNIVERSITY,2017-07-24,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX9202187,India,Asia,"India: farm near Ranakandorana\, Gujarat",Illumina MiSeq,21.618669 N 69.865737 E,R3-R2A,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2021-09-28T00:00:00Z,2020-09-28T11:53:00Z,1,R3-R2A,SRP285612,,,,,Arachis hypogaea,,,,,rhizosphere soil,"rhizosphere soil from five distinct plants were pooled\, serially diluted and platted on media. 2 plates were platted for two dilutions (10e-5 and 10e-6) and incubated at 27 and 37 Celsius.",R3-R2A
SRR12728812,AMPLICON,500,67946879,PRJNA665712,SAMN16264374,Metagenome or environmental,39711284,SAURASHTRA UNIVERSITY,2017-07-24,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX9202186,India,Asia,"India: farm near Ranakandorana\, Gujarat",Illumina MiSeq,21.618669 N 69.865737 E,R3-NB,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2021-09-28T00:00:00Z,2020-09-28T11:53:00Z,1,R3-NB,SRP285612,,,,,Arachis hypogaea,,,,,rhizosphere soil,"rhizosphere soil from five distinct plants were pooled\, serially diluted and platted on media. 2 plates were platted for two dilutions (10e-5 and 10e-6) and incubated at 27 and 37 Celsius.",R3-NB
SRR12728813,AMPLICON,500,22968018,PRJNA665712,SAMN16264387,Metagenome or environmental,13495068,SAURASHTRA UNIVERSITY,2017-08-06,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX9202185,India,Asia,"India: farm near Ranakandorana\, Gujarat",Illumina MiSeq,21.618669 N 69.865737 E,R4-YMA,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2021-09-28T00:00:00Z,2020-09-28T11:53:00Z,1,R4-YMA,SRP285612,,,,,Arachis hypogaea,,,,,rhizosphere soil,"rhizosphere soil from five distinct plants were pooled\, serially diluted and platted on media. 2 plates were platted for two dilutions (10e-5 and 10e-6) and incubated at 27 and 37 Celsius.",R4-YMA
SRR12728814,AMPLICON,500,81299327,PRJNA665712,SAMN16264386,Metagenome or environmental,46334066,SAURASHTRA UNIVERSITY,2017-08-06,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9202184,India,Asia,"India: farm near Ranakandorana\, Gujarat",Illumina MiSeq,21.618669 N 69.865737 E,R4-YEM,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2021-09-28T00:00:00Z,2020-09-28T11:53:00Z,1,R4-YEM,SRP285612,,,,,Arachis hypogaea,,,,,rhizosphere soil,"rhizosphere soil from five distinct plants were pooled\, serially diluted and platted on media. 2 plates were platted for two dilutions (10e-5 and 10e-6) and incubated at 27 and 37 Celsius.",R4-YEM
